"Item","FILENAME","DESCRIPTIO","TAGNAME","TAGDESC","EXPRATION","FORCOND"
166,"a_line","PromDate+Purp+Type+Size+Val+Priority","alpptsvp","D.prom+purp+p.typ+siz+val+prior","DtoS(a_line->b_dprom)+a_line->b_purp+a_line->ptype_id+a_line->size_id+STR(a_line->value_id,9,3)+a_line->b_prior","NIL"
167,"a_line","CurrProc+Priority+Purp+Type+Size+Val","alcpptsv","Proc+prior+purp+p.type+size+val","a_line->cpproc_id+a_line->b_prior+a_line->b_purp+a_line->ptype_id+a_line->size_id+STR(a_line->value_id,9,3)+a_line->b_prior","NIL"
168,"a_line","Proc Code + Top Down ESN (open)","apctdesn","Proc code+Top Down ESN (open)","a_line->cpproc_id+a_line->cp_pccode+padr(a_line->ptype_id+a_line->pline_id+a_line->size_id+ltrim(Str(a_line->value_id,9,3))+a_line->tol_id,16)","NIL"
169,"a_line","Product line","alinepic","Prod.line","a_line->pline_id","NIL"
170,"h_line","Line","hb_idln","B/N+ESN","h_line->b_id+h_line->esn_id","NIL"
171,"h_line","ESN (+b_stat)","hsn_idln","ESN+Batch status","h_line->esn_id+h_line->b_stat","NIL"
172,"h_line","ESNp","hlnesnp","Top-down ESN","padr(h_line->ptype_id+h_line->pline_id+h_line->size_id+ltrim(Str(h_line->value_id,9,3))+h_line->tol_id+h_line->volt_id+h_line ->tc_id+h_line->term_id+h_line->esnxx_id+h_line->esny_id,23)","NIL"
173,"h_line","ESNTop","hlinetop","Top-down XX","padr(h_line->ptype_id+h_line->pline_id+h_line->size_id+ltrim(Str(h_line->value_id,9,3))+h_line->esnxx_id+h_line->tol_id+h_line->volt_id+h_line ->tc_id+h_line->term_id+h_line->esny_id,23)","NIL"
174,"h_line","Btype+ESNp","hlnbesnp","Batch type+ESN(params)","h_line->b_type+h_line->size_id+Str(h_line->value_id,9,3)+h_line->tol_id+h_line->volt_id+h_line->tc_id+h_line->term_id+h_line->esnxx_id+h_line->esny_id","NIL"
175,"h_line","Status+Purp+Type+Size+Val+Num","hlsptsvn","B.stat+purp+p.type+size+val+B/N","h_line->b_stat+h_line->b_purp+h_line->ptype_id+h_line->size_id+STR(h_line->value_id,9,3)+h_line->b_id","NIL"
176,"h_line","Purp+Type+Size+Val+Num","hlptsvn","Purp+p.type+size+val+B/N","h_line->b_purp+h_line->ptype_id+h_line->size_id+STR(h_line->value_id,9,3)+h_line->b_id","NIL"
177,"h_line","OpenDate+Purp+Type+Size+Val+Priority","hloptsvp","D.open+purp+p.typ+siz+val+prior","DtoS(h_line->b_dopen)+h_line->b_purp+h_line->ptype_id+h_line->size_id+STR(h_line->value_id,9,3)+h_line->b_prior","NIL"
178,"h_line","PromDate+Purp+Type+Size+Val+Priority","hlpptsvp","D.prom+purp+p.typ+siz+val+prior","DtoS(h_line->b_dprom)+h_line->b_purp+h_line->ptype_id+h_line->size_id+STR(h_line->value_id,9,3)+h_line->b_prior","NIL"
179,"h_line","CurrProc+Priority+Purp+Type+Size+Val","hlcpptsv","Proc+prior+purp+p.type+size+val","h_line->cpproc_id+h_line->b_prior+h_line->b_purp+h_line->ptype_id+h_line->size_id+STR(h_line->value_id,9,3)+h_line->b_prior","NIL"
180,"h_line","Proc Code + Top Down ESN (open)","hpctdesn","Proc code+Top Down ESN (open)","h_line->cpproc_id+h_line->cp_pccode+padr(h_line->ptype_id+h_line->pline_id+h_line->size_id+ltrim(Str(h_line->value_id,9,3))+h_line->tol_id,16)","NIL"
181,"h_line","Product line","hlinepic","Prod.line","h_line->pline_id","NIL"
182,"h_linemv","B/N & Curr proc","hlnmvbn","B/N+proc","h_linemv->b_id+h_linemv->cpproc_id","NIL"
183,"h_linemv","B/N & Stage","hlnmvbs","B/N+stage","h_linemv->b_id+Str(h_linemv->cp_stage,4)","NIL"
184,"h_linemv","ESN","hlnmvesn","ESN","h_linemv->esn_id","NIL"
185,"h_linemv","Stock in proc","hlnmvsip","Proc+prior+b.type+B/N","h_linemv->cpproc_id+h_linemv->b_prior+h_linemv->b_type+h_linemv->b_purp+h_linemv->b_id","[h_linemv->arr .AND. !h_linemv->fin]"
186,"h_linemv","Stock in work station","hlnmvsiw","Wkstn+proc+prior+b.type+B/N","h_linemv->cpwkstn_id+h_linemv->cp_pccode+h_linemv->b_prior+h_linemv->b_type+h_linemv->b_purp+h_linemv->b_id","[h_linemv->arr .AND. !h_linemv->fin]"
187,"h_linemv","Finish date+time","hlnmvfin","Finish date+time","dtos(h_linemv->cp_dfin)+h_linemv->cp_tfin","NIL"
188,"a_linemv","B/N & Curr proc","alnmvbn","B/N+proc","a_linemv->b_id+a_linemv->cpproc_id","NIL"
189,"a_linemv","B/N & Stage","alnmvbs","B/N+stage","a_linemv->b_id+Str(a_linemv->cp_stage,4)","NIL"
190,"a_linemv","ESN","alnmvesn","ESN","a_linemv->esn_id","NIL"
191,"a_linemv","Stock in proc","alnmvsip","Proc+prior+b.type+B/N","a_linemv->cpproc_id+a_linemv->b_prior+a_linemv->b_type+a_linemv->b_purp+a_linemv->b_id","[a_linemv->arr .AND. !a_linemv->fin]"
