"Item","FILENAME","DESCRIPTIO","TAGNAME","TAGDESC","EXPRATION","FORCOND"
1,"a_finqc","d_ord","afinqcbn","B/N","a_finqc->b_id","NIL"
2,"a_finqc","Pack B/N","afinqpbn","Pack B/N","a_finqc->packb_id","NIL"
3,"c_agency","Agency ID","iagencid","Agency code","c_agency->ag_id","NIL"
4,"c_agency","Agency name","iagencnm","Agency name","c_agency->ag_nm","NIL"
5,"c_btype","Line & Esnxx","ilinesnx","Prod.line+ESN(XX)","c_btype->pline_id+c_btype->esnxx_id","NIL"
6,"c_btype","B type","ibtype","Batch type+ESN(XX)+Prod.line","c_btype->b_type+c_btype->esnxx_id+c_btype->pline_id","NIL"
7,"c_cntry","Country Code","cntryid","Country code","UPPER(c_cntry->country_id)","NIL"
8,"c_cntry","Country name","cntrynm","Country name","UPPER(c_cntry->country_nm)","NIL"
9,"c_curr","Currency rates","ccurrtyp","Currency type","c_curr->curr_type","NIL"
10,"c_cust","Customers","icu_id","Customer ID","c_cust->cu_id","NIL"
11,"c_cust","Customers","icu_nm","Customer name","Upper(c_cust->cu_nm)","NIL"
12,"c_cuco","CompanyID","icuco","Company ID","c_cuco->cuco_id","NIL"
13,"c_esnlnk","ESN id","ilnkesn","ESN","c_esnlnk->esn_id","NIL"
14,"c_esnlnk","Route","ilnkrout","Route","c_esnlnk->route_id+C_esnlnk->esn_id","NIL"
15,"c_esnlnk","R&ESNp","ilnkroes","Route+ESN(params)","c_esnlnk->route_id+c_esnlnk->ptype_id+c_esnlnk->pline_id+c_esnlnk->size_id+Str(c_esnlnk->value_id,9,3)+c_esnlnk->tol_id+c_esnlnk->volt_id+c_esnlnk->tc_id+c_esnlnk->term_id+c_esnlnk->esnxx_id+c_esnlnk->esny_id","NIL"
16,"c_esnxx","ID","esnxxid","ESN(XX)","c_esnxx->esnxx_id","NIL"
17,"c_esnxx","Name","esnxxnm","ESN(XX) description","Upper(c_esnxx->esnxx_nm)","NIL"
18,"c_esnxrf","CU_ID + CU_PN","C_ESNXRC","Customer ID+Customer P/N","c_esnxrf->cu_id+c_esnxrf->cu_pn","NIL"
19,"c_esnxrf","CU_ID + Esn_id","C_ESNXRE","Customer ID+ESN","c_esnxrf->cu_id+c_esnxrf->Esn_id","NIL"
20,"c_esnxrf","CU_ID + So_PN","C_ESNXRS","Customer ID+SO P/N","c_esnxrf->cu_id+c_esnxrf->so_pn","NIL"
21,"c_esny","Esny_id","c_Esny","ESN (Y)","c_esny->esny_id","NIL"
22,"c_exrate","Last rate","itpdt","Currency type+exchange date","c_exrate->curr_type+Dtos( c_exrate->d_exch)","NIL"
23,"c_exrate","Date order","idate","Exchange date+currency type","Dtos(c_exrate->d_exch)+c_exrate->CURR_TYPE","NIL"
24,"c_exrate","Curr + rate","currrate","currency type + rate","c_exrate->curr_type+STR(c_exrate->nis_in_uom,10,4)","NIL"
25,"c_expqty","UOM types","iuts","UOM+Batch type+Size","c_expqty->uom_id+c_expqty->b_type+c_expqty->size_id","NIL"
26,"c_pline","pline_id","c_pline","Prod.line+Size","pline_id+size_id","NIL"
27,"c_pline","ptype_id + pline_id","c_ptypl","Prod.type+prod.line","ptype_id+pline_id","NIL"
28,"c_proc","Process","iproc_id","Process","proc_id","NIL"
29,"c_ptype","P type","iptype","Part type","ptype_id","NIL"
30,"c_postat","Poln Status","c_postat","P/O status","c_postat->poln_stat","NIL"
31,"c_potype","Poln Type","c_potype","P/O type","c_potype->poln_type","NIL"
32,"c_proj","Project ID","c_Proj","Project ID","c_proj->Proj_id","NIL"
33,"c_proj","Project name","c_ProjNM","Project Name","c_proj->Proj_nm","NIL"
34,"c_rejcd","Rej ID","irejid","Rejection code","c_rejcd->rej_id","NIL"
35,"c_rlib","Route id","irlibid","Route","c_rlib->route_id","NIL"
36,"c_rlib","Route nm","irlibnm","Route hebrew descr.","Substr(c_rlib->route_nmh,50,1)+Substr(c_rlib->route_nmh,49,1)+Substr(c_rlib->route_nmh,48,1)+Substr(c_rlib->route_nmh,47,1)+Substr(c_rlib->route_nmh,46,1)+Substr(c_rlib->route_nmh,45,1)","NIL"
37,"c_sarea","Area_Id","isarea","Sales area code","sarea_id","NIL"
38,"c_shipl","Ship l","ishiplid","Shipping list code","c_shipl->shipl_id","NIL"
39,"c_tc","tc_id","c_tc","TC","c_tc->tc_id","NIL"
40,"c_thqty","Prime key","itsuom","B.type+size+OrigUOM+ConvUOM","c_thqty->b_type+c_thqty->size_id+c_thqty->orig_uom+c_thqty->conv_uom","NIL"
41,"c_tol","tol_id","c_tol","Tolerance","tol_id","NIL"
42,"c_tol","Ptype_id+tol_id","c_ptol","Prod.type+prod.line","ptype_id+tol_id","NIL"
43,"c_value","Primary key","ivalpr","Value+prod.type","Str(value_id,9,3)+ptype_id","NIL"
44,"c_value","Ptype + value","ivalpv","Prod.type+value","ptype_id+Str(value_id,9,3)","NIL"
45,"c_volt","volt_id","c_volt","Voltage","c_volt->volt_id","NIL"
46,"c_wip","WIP description","wipcdef","WIP description","c_wip->descrption","NIL"
47,"c_wip","WIP file name","wipcnam","WIP file name","c_wip->wfile","NIL"
48,"d_alloc","Ref No","iallcref","Alloc. ref no","d_alloc->sm_refno+d_alloc->srb_id","NIL"
49,"d_alloc","Poln ID+Ref No","iallpoln","AVX IL P/O+Ref.No.","STR(d_alloc->poln_id,9,2)+d_alloc->sm_refno","NIL"
50,"d_canc","Cancellations","polncanc","P/O","Str(d_canc->poln_id,9,2)","NIL"
51,"d_esn","ESN","iesn_id","ESN","d_esn->esn_id","NIL"
52,"d_esn","Top-down ESN","i_esnp","Top-down ESN","padr(d_esn->ptype_id+d_esn->pline_id+d_esn->size_id+ltrim(Str(d_esn->value_id,9,3))+d_esn->tol_id+d_esn->volt_id+d_esn->tc_id+d_esn->term_id+d_esn->esnxx_id+d_esn->esny_id,23)","NIL"
53,"d_esn","ESNAVXIL","iavxilpn","AVX IL P/N","d_esn->avxilpn","NIL"
54,"d_esn","Pline_id","esnpline","Prod.line","d_esn->pline_id","NIL"
55,"d_esn","Clusters","esnclust","Clusters","d_esn->wip_clstr+d_esn->esn_id","NIL"
56,"d_finqc","B/N+ESN","ifinqcbn","B/N+ESN","d_finqc->b_id+d_finqc->esn_id","NIL"
57,"d_finqc","Pack B/N","ifinqpbn","Pack B/N","d_finqc->packb_id+d_finqc->esn_id","NIL"
58,"d_groups","Group ID","d_groups","Group ID","UPPER(d_groups->group_id)","NIL"
59,"d_groups","PrinterGroupListPos","gpprnpos","PrinterGroupListPos","d_groups->prn_pos","NIL"
60,"d_instr","Instruction id","instrid","Instruction code","Str(d_instr->instr_id,5)","NIL"
61,"d_instr","Name","instrnm","Instruction text hebrew","Substr(d_instr->instr_nmh,55,1)+Substr(d_instr->instr_nmh,54,1)+Substr(d_instr->instr_nmh,53,1)+Substr(d_instr->instr_nmh,52,1)+Substr(d_instr->instr_nmh,51,1)+Substr(d_instr->instr_nmh,50,1)","NIL"
62,"d_instr","Authuor","instrau","Author hebrew","Substr(d_instr->instr_auth,10,1)+Substr(d_instr->instr_auth,9,1)+Substr(d_instr->instr_auth,8,1)+Substr(d_instr->instr_auth,7,1)+Substr(d_instr->instr_auth,6,1)+Substr(d_instr->instr_auth,5,1)","NIL"
63,"d_instr","Proc spec","instrps","Process specification","d_instr->proc_spec","NIL"
64,"d_irrfin","B_id+Stage+CurrProc","d_irrfin","B/N+Stage+Current process","d_irrfin->b_id+STR(d_irrfin->cp_stage,4)+d_irrfin->cpproc_id","NIL"
65,"d_line","Line","ib_idln","B/N","b_id","NIL"
66,"d_line","ESN parameters+Pccode","ilnespc","Top-down ESN+ PCcode","padr(ptype_id+pline_id+size_id+ltrim(Str(value_id,9,3))+tol_id+cp_pccode,21)","[!(b_stat$""CD"")]"
67,"d_line","Type+Line+Size+PcCode+Pr+Slack+Purp","nSlack","Type+Line+Size+PcCode+Pr+Slack+Purp","ptype_id+pline_id+size_id+cp_pccode+b_prior+STR(100000+(b_dprom-ExpFinDate),6)+IF(b_purp=CHR(55),CHR(50),IF(b_purp=CHR(54),CHR(51),b_purp))+b_id","[!(b_stat$""CD"")]"
68,"d_line","Type+Size+PcCode+Prior+Slack+Purp","incoupl","Type+Size+PcCode+Prior+Slack+Purp","ptype_id+size_id+cp_pccode+b_prior+STR(100000+(b_dprom-ExpFindate),6)+IF(b_purp=CHR(55),CHR(50),IF(b_purp=CHR(54),CHR(51),b_purp))","[!(b_stat$""CD"")]"
69,"d_line","Curr.Proc+Priority+Purp+Type+Size+Val","dlcpptsv","Curr.Proc.+Priority+Purp+Type+Size+Val","cpproc_id+b_prior+b_purp+ptype_id+size_id+STR(value_id,9,3)","[!(b_stat$""CD"")]"
70,"d_line","Purp + ESN Top Down","iprlnesn","Purp + ESN Top Down","padr(b_purp+ptype_id+pline_id+size_id+ltrim(Str(value_id,9,3)),19)","[!(b_stat$""CD"")]"
71,"d_line","ESN Top Down + Purp","iesnpurp","ESN Top Down + Purp","padr(ptype_id+pline_id+size_id+ltrim(Str(value_id,9,3))+b_purp,19)","[!(b_stat$""CD"")]"
72,"d_line","Purp+P.Type+Size+Val+B/N","dlptsvn","Purp+P.Type+Size+Val+B/N","b_purp+ptype_id+size_id+STR(value_id,9,3)+b_id","NIL"
73,"d_line","Proc Code + Top Down ESN (open)","dpctdesn","Proc code+Top Down ESN (open)","cp_pccode+padr(ptype_id+pline_id+size_id+ltrim(Str(value_id,9,3))+tol_id,16)","[!(b_stat$""CD"")]"
74,"d_line","ESN Top Down XX","dlinetop","Top-down XX","padr(ptype_id+pline_id+size_id+ltrim(Str(value_id,9,3))+esnxx_id+tol_id+volt_id+tc_id+term_id+esny_id,23)","[!(b_stat$""CD"")]"
75,"d_line","ESN Top Down","ilnesnp","Top-down ESN","padr(ptype_id+pline_id+size_id+ltrim(Str(value_id,9,3))+tol_id+volt_id+tc_id+term_id+esnxx_id+esny_id,23)","[!(b_stat$""CD"")]"
76,"d_line","Batch status+Purp+Type+Size+Val+B/N","dlsptsvn","Batch status+Purp+Type+Size+Val+B/N","b_stat+b_purp+ptype_id+size_id+STR(value_id,9,3)+b_id","NIL"
77,"d_msg","Msg NO","imsgno","Message no","Str(d_msg->msgno,6)","NIL"
78,"d_ord","Orders","ipolnoid","P/O","Str(d_ord->poln_id,9,2)","NIL"
79,"d_ord","SOORDLN+SOORDLN_NO","iordsopo","SO P/O","d_ord->SOORDLN+d_ord->SOORDLN_NO","NIL"
80,"d_ord","SONo+SONoLn","iordsnl","SONo+SONOLn","d_ord->sono+d_ord->sonoln+d_ord->text2","NIL"
